id,word,ipa,audio_path,ipa_clean,source,is_correct,split
,chaste,/tʃeɪst/,data/augmented/acoustic/en1014745_aug1.wav,tʃeɪst,augmented,True,train
4855.0,hedgehog,/ˈhɛdʒˌhɑg/,data/raw/phonemeref_data/audio/hedgehog/en042544.mp3,ˈhɛdʒˌhɑg,original,True,
3225.0,duff,/ˈdʌf/,data/raw/phonemeref_data/audio/duff/en1027621.mp3,ˈdʌf,original,True,
,hoarse,/hɔrs/,data/augmented/acoustic/en043489_aug1.wav,hɔrs,augmented,True,train
,babble,/ˈbæbəl/,data/augmented/acoustic/en005851_aug1.wav,ˈbæbəl,augmented,True,train
,painfully,/ˈpeɪnfʊli/,data/augmented/acoustic/en1062492_aug2.wav,ˈpeɪnfʊli,augmented,True,train
,pear,/pɛr/,data/augmented/acoustic/en062753_aug1.wav,pɛr,augmented,True,train
,ruined,/ˈruːɪnd/,data/augmented/acoustic/en074353_aug1.wav,ˈruːɪnd,augmented,True,train
7584.0,pole,/poʊl/,data/raw/phonemeref_data/audio/pole/en065097.mp3,poʊl,original,True,
8428.0,reptile,/ˈrɛptɪl/,data/raw/phonemeref_data/audio/reptile/en1073503.mp3,ˈrɛptɪl,original,True,
3937.0,fine,/faɪn/,data/raw/phonemeref_data/audio/fine/en034106.mp3,faɪn,original,True,
,masse,/ˈmæsɪ/,data/augmented/acoustic/en1054725_aug1.wav,ˈmæsɪ,augmented,True,train
11273.0,wasp,/wɑsp/,data/raw/phonemeref_data/audio/wasp/en096799.mp3,wɑsp,original,True,
,coil,/kɔɪl/,data/augmented/acoustic/en016499_aug2.wav,kɔɪl,augmented,True,train
8662.0,roughly,/ˈrʌfli/,data/raw/phonemeref_data/audio/roughly/en074098.mp3,ˈrʌfli,original,True,
,increment,/ˈɪnkrəmənt/,data/augmented/acoustic/en1045397_aug1.wav,ˈɪnkrəmənt,augmented,True,train
,luckily,/ˈlʌkəli/,data/augmented/acoustic/en052706_aug2.wav,ˈlʌkəli,augmented,True,train
,imperative,/ɪmˈpɛrətɪv/,data/augmented/acoustic/en045302_aug1.wav,ɪmˈpɛrətɪv,augmented,True,train
,contraction,/kənˈtrækʃən/,data/augmented/acoustic/en1019360_aug2.wav,kənˈtrækʃən,augmented,True,train
10337.0,throat,/θroʊt/,data/raw/phonemeref_data/audio/throat/en089882.mp3,θroʊt,original,True,
,waterway,/ˈwɔtɚˌweɪ/,data/augmented/acoustic/en1098162_aug1.wav,ˈwɔtɚˌweɪ,augmented,True,train
,boon,/bun/,data/augmented/acoustic/en009555_aug1.wav,bun,augmented,True,train
,rebate,/ˈribeɪt/,data/augmented/acoustic/en070076_aug1.wav,ˈribeɪt,augmented,True,train
,tent,/tɛnt/,data/augmented/acoustic/en088908_aug2.wav,tɛnt,augmented,True,train
,sustainability,/səˌsteɪnəˈbɪləti/,data/augmented/acoustic/en086977_aug1.wav,səˌsteɪnəˈbɪləti,augmented,True,train
,builder,/ˈbɪldɚ/,data/augmented/acoustic/en011458_aug1.wav,ˈbɪldɚ,augmented,True,train
6611.0,nanny,/ˈnæni/,data/raw/phonemeref_data/audio/nanny/en057530.mp3,ˈnæni,original,True,
3384.0,emaciated,/ɪˈmeɪʃiˌeɪtɪd/,data/raw/phonemeref_data/audio/emaciated/en1028920.mp3,ɪˈmeɪʃiˌeɪtɪd,original,True,
9449.0,sparse,/spɑrs/,data/raw/phonemeref_data/audio/sparse/en082005.mp3,spɑrs,original,True,
,calculation,/ˌkælkjəˈleɪʃən/,data/augmented/acoustic/en012309_aug1.wav,ˌkælkjəˈleɪʃən,augmented,True,train
,celery,/ˈsɛləri/,data/augmented/acoustic/en013630_aug1.wav,ˈsɛləri,augmented,True,train
,stingy,/ˈstɪndʒi/,data/augmented/acoustic/en084374_aug1.wav,ˈstɪndʒi,augmented,True,train
,maelstrom,/ˈmeɪlstrəm/,data/augmented/acoustic/en1053598_aug2.wav,ˈmeɪlstrəm,augmented,True,train
6208.0,macabre,/məˈkɑbrə/,data/raw/phonemeref_data/audio/macabre/en1053450.mp3,məˈkɑbrə,original,True,
,throat,/θroʊt/,data/augmented/acoustic/en089882_aug2.wav,θroʊt,augmented,True,train
,filing,/ˈfaɪlɪŋ/,data/augmented/acoustic/en033896_aug2.wav,ˈfaɪlɪŋ,augmented,True,train
6141.0,looting,/ˈluːtɪŋ/,data/raw/phonemeref_data/audio/looting/en052420.mp3,ˈluːtɪŋ,original,True,
6287.0,mannequin,/ˈmænɪkɪn/,data/raw/phonemeref_data/audio/mannequin/en1054178.mp3,ˈmænɪkɪn,original,True,
,mattress,/ˈmætrɪs/,data/augmented/acoustic/en054223_aug1.wav,ˈmætrɪs,augmented,True,train
,knocking,/ˈnɑkɪŋ/,data/augmented/acoustic/en1050065_aug1.wav,ˈnɑkɪŋ,augmented,True,train
,wrack,/ræk/,data/augmented/acoustic/en1100089_aug1.wav,ræk,augmented,True,train
,unintentionally,/ˌʌnɪnˈtɛnʃənəli/,data/augmented/acoustic/en1094294_aug2.wav,ˌʌnɪnˈtɛnʃənəli,augmented,True,train
