id,word,ipa,audio_path
0,aback,/əˈbæk/,data/raw/phonemeref_data/audio/aback/en1000575.mp3
1,abandoned,/əˈbændənd/,data/raw/phonemeref_data/audio/abandoned/en000091.mp3
2,abandonment,/əˈbændənmənt/,data/raw/phonemeref_data/audio/abandonment/en1000609.mp3
3,abandons,/əˈbændən/,data/raw/phonemeref_data/audio/abandons/en000084.mp3
4,abate,/əˈbeɪt/,data/raw/phonemeref_data/audio/abate/en000104.mp3
5,abatement,/əˈbeɪtmənt/,data/raw/phonemeref_data/audio/abatement/en1000634.mp3
6,abates,/əˈbeɪt/,data/raw/phonemeref_data/audio/abates/en000104.mp3
7,abattoirs,/ˈæbətwɑːr/,data/raw/phonemeref_data/audio/abattoirs/en1000640.mp3
8,abbey,/ˈæbi/,data/raw/phonemeref_data/audio/abbey/en000119.mp3
9,abbot,/ˈæbət/,data/raw/phonemeref_data/audio/abbot/en1000654.mp3
10,abbreviation,/əˌbriːviˈeɪʃən/,data/raw/phonemeref_data/audio/abbreviation/en000123.mp3
11,abbreviations,/əˌbriːviˈeɪʃən/,data/raw/phonemeref_data/audio/abbreviations/en000123.mp3
12,abdomen,/ˈæbdəmən/,data/raw/phonemeref_data/audio/abdomen/en1000685.mp3
13,abdominal,/æbˈdɒmɪnəl/,data/raw/phonemeref_data/audio/abdominal/en1000691.mp3
14,aberrant,/æˈbɛrənt/,data/raw/phonemeref_data/audio/aberrant/en1000723.mp3
15,aberration,/ˌæbəˈreɪʃən/,data/raw/phonemeref_data/audio/aberration/en1000738.mp3
16,aberrations,/ˌæbəˈreɪʃən/,data/raw/phonemeref_data/audio/aberrations/en1000738.mp3
17,abhorrent,/æbˈhɒrənt/,data/raw/phonemeref_data/audio/abhorrent/en1000775.mp3
18,abides,/əˈbaɪd/,data/raw/phonemeref_data/audio/abides/en000139.mp3
19,abiding,/əˈbaɪdɪŋ/,data/raw/phonemeref_data/audio/abiding/en000140.mp3
20,ability,/əˈbɪlɪti/,data/raw/phonemeref_data/audio/ability/en000159.mp3
21,abject,/ˈæbdʒɛkt/,data/raw/phonemeref_data/audio/abject/en1000793.mp3
22,ablaze,/əˈbleɪz/,data/raw/phonemeref_data/audio/ablaze/en000160.mp3
23,ably,/ˈeɪbli/,data/raw/phonemeref_data/audio/ably/en1000825.mp3
24,abnormal,/æbˈnɔːrməl/,data/raw/phonemeref_data/audio/abnormal/en000184.mp3
25,aboard,/əˈbɔːrd/,data/raw/phonemeref_data/audio/aboard/en000198.mp3
26,abode,/əˈbəʊd/,data/raw/phonemeref_data/audio/abode/en000201.mp3
27,abominable,/əˈbɒmɪnəbəl/,data/raw/phonemeref_data/audio/abominable/en1000856.mp3
28,Aborigine,/ˌæbəˈrɪdʒɪni/,data/raw/phonemeref_data/audio/Aborigine/en1000895.mp3
29,aborigines,/ˌæbəˈrɪdʒɪni/,data/raw/phonemeref_data/audio/aborigines/en1000895.mp3
30,abortion,/əˈbɔːrʃən/,data/raw/phonemeref_data/audio/abortion/en000224.mp3
31,abortions,/əˈbɔːrʃən/,data/raw/phonemeref_data/audio/abortions/en000224.mp3
32,abound,/əˈbaʊnd/,data/raw/phonemeref_data/audio/abound/en000238.mp3
33,abounds,/əˈbaʊnd/,data/raw/phonemeref_data/audio/abounds/en000238.mp3
34,about,/əˈbaʊt/,data/raw/phonemeref_data/audio/about/en000242.mp3
35,above,/əˈbʌv/,data/raw/phonemeref_data/audio/above/en000257.mp3
36,abreast,/əˈbrɛst/,data/raw/phonemeref_data/audio/abreast/en000265.mp3
37,abridged,/əˈbrɪdʒd/,data/raw/phonemeref_data/audio/abridged/en1000958.mp3
38,abroad,/əˈbrɔːd/,data/raw/phonemeref_data/audio/abroad/en000276.mp3
39,abrupt,/əˈbrʌpt/,data/raw/phonemeref_data/audio/abrupt/en000281.mp3
40,abruptly,/əˈbrʌptli/,data/raw/phonemeref_data/audio/abruptly/en1000974.mp3
41,absence,/ˈæbsəns/,data/raw/phonemeref_data/audio/absence/en000294.mp3
42,absences,/ˈæbsəns/,data/raw/phonemeref_data/audio/absences/en000294.mp3
43,absent,/ˈæbsənt/,data/raw/phonemeref_data/audio/absent/en000301.mp3
44,absents,/ˈæbsənt/,data/raw/phonemeref_data/audio/absents/en000301.mp3
