id,word,ipa,audio_path,ipa_clean
0,aback,/əˈbæk/,data/raw/phonemeref_data/audio/aback/en1000575.mp3,əbæk
1,abandoned,/əˈbændənd/,data/raw/phonemeref_data/audio/abandoned/en000091.mp3,əbændənd
2,abandonment,/əˈbændənmənt/,data/raw/phonemeref_data/audio/abandonment/en1000609.mp3,əbændənmənt
3,abandons,/əˈbændən/,data/raw/phonemeref_data/audio/abandons/en000084.mp3,əbændən
4,abate,/əˈbeɪt/,data/raw/phonemeref_data/audio/abate/en000104.mp3,əbeɪt
5,abatement,/əˈbeɪtmənt/,data/raw/phonemeref_data/audio/abatement/en1000634.mp3,əbeɪtmənt
6,abates,/əˈbeɪt/,data/raw/phonemeref_data/audio/abates/en000104.mp3,əbeɪt
7,abattoirs,/ˈæbətwɑːr/,data/raw/phonemeref_data/audio/abattoirs/en1000640.mp3,æbətwɑr
8,abbey,/ˈæbi/,data/raw/phonemeref_data/audio/abbey/en000119.mp3,æbi
9,abbot,/ˈæbət/,data/raw/phonemeref_data/audio/abbot/en1000654.mp3,æbət
10,abbreviation,/əˌbriːviˈeɪʃən/,data/raw/phonemeref_data/audio/abbreviation/en000123.mp3,əbrivieɪʃən
11,abbreviations,/əˌbriːviˈeɪʃən/,data/raw/phonemeref_data/audio/abbreviations/en000123.mp3,əbrivieɪʃən
12,abdomen,/ˈæbdəmən/,data/raw/phonemeref_data/audio/abdomen/en1000685.mp3,æbdəmən
13,abdominal,/æbˈdɒmɪnəl/,data/raw/phonemeref_data/audio/abdominal/en1000691.mp3,æbdɒmɪnəl
14,aberrant,/æˈbɛrənt/,data/raw/phonemeref_data/audio/aberrant/en1000723.mp3,æbɛrənt
15,aberration,/ˌæbəˈreɪʃən/,data/raw/phonemeref_data/audio/aberration/en1000738.mp3,æbəreɪʃən
16,aberrations,/ˌæbəˈreɪʃən/,data/raw/phonemeref_data/audio/aberrations/en1000738.mp3,æbəreɪʃən
17,abhorrent,/æbˈhɒrənt/,data/raw/phonemeref_data/audio/abhorrent/en1000775.mp3,æbhɒrənt
18,abides,/əˈbaɪd/,data/raw/phonemeref_data/audio/abides/en000139.mp3,əbaɪd
19,abiding,/əˈbaɪdɪŋ/,data/raw/phonemeref_data/audio/abiding/en000140.mp3,əbaɪdɪŋ
20,ability,/əˈbɪlɪti/,data/raw/phonemeref_data/audio/ability/en000159.mp3,əbɪlɪti
21,abject,/ˈæbdʒɛkt/,data/raw/phonemeref_data/audio/abject/en1000793.mp3,æbdʒɛkt
22,ablaze,/əˈbleɪz/,data/raw/phonemeref_data/audio/ablaze/en000160.mp3,əbleɪz
23,ably,/ˈeɪbli/,data/raw/phonemeref_data/audio/ably/en1000825.mp3,eɪbli
24,abnormal,/æbˈnɔːrməl/,data/raw/phonemeref_data/audio/abnormal/en000184.mp3,æbnɔrməl
25,aboard,/əˈbɔːrd/,data/raw/phonemeref_data/audio/aboard/en000198.mp3,əbɔrd
26,abode,/əˈbəʊd/,data/raw/phonemeref_data/audio/abode/en000201.mp3,əboʊd
27,abominable,/əˈbɒmɪnəbəl/,data/raw/phonemeref_data/audio/abominable/en1000856.mp3,əbɒmɪnəbəl
28,Aborigine,/ˌæbəˈrɪdʒɪni/,data/raw/phonemeref_data/audio/Aborigine/en1000895.mp3,æbərɪdʒɪni
29,aborigines,/ˌæbəˈrɪdʒɪni/,data/raw/phonemeref_data/audio/aborigines/en1000895.mp3,æbərɪdʒɪni
