id,word,ipa,ipa_clean,audio_path,source,score,age
speechocean_train_0,WE CALL IT BEAR,wikɔlɪtbɛr,wikɔlɪtbɛr,data\speechocean\audio\so_train_00000.wav,speechocean762,8,6
speechocean_train_1,ZERO THREE FIVE ONE,zɪroʊθrifaɪvwən,zɪroʊθrifaɪvwən,data\speechocean\audio\so_train_00001.wav,speechocean762,8,6
speechocean_train_2,THREE TWO TWO SEVEN,θritutusɛvn,θritutusɛvn,data\speechocean\audio\so_train_00002.wav,speechocean762,9,6
speechocean_train_3,ELEPHANTS TAI GOOSE,ɛlɪfəntstaɪgus,ɛlɪfəntstaɪgus,data\speechocean\audio\so_train_00003.wav,speechocean762,10,6
speechocean_train_4,TOM GIVES UP BOXING,tɑmgɪvzəpbɑksɪŋ,tɑmgɪvzəpbɑksɪŋ,data\speechocean\audio\so_train_00004.wav,speechocean762,9,6
speechocean_train_5,HE HATES SHOOTING,hiheɪtsʃutɪŋ,hiheɪtsʃutɪŋ,data\speechocean\audio\so_train_00005.wav,speechocean762,9,6
speechocean_train_6,MANDY HAS A BIG ARM,mændihæzəbɪgɑrm,mændihæzəbɪgɑrm,data\speechocean\audio\so_train_00006.wav,speechocean762,10,6
speechocean_train_7,LOOK AT ANN'S PANTS,lʊkætænzpænts,lʊkætænzpænts,data\speechocean\audio\so_train_00007.wav,speechocean762,10,6
speechocean_train_8,WHAT ABOUT THE BUS,wətəbaʊtðəbəs,wətəbaʊtðəbəs,data\speechocean\audio\so_train_00008.wav,speechocean762,9,6
speechocean_train_9,LET'S GO TO THE RESTROOM,lɛtsgoʊtuðərɛstrum,lɛtsgoʊtuðərɛstrum,data\speechocean\audio\so_train_00009.wav,speechocean762,9,6
speechocean_train_10,THEN MIKE WALKS TO COFFEE,ðɛnmaɪkwɔkstukɔfi,ðɛnmaɪkwɔkstukɔfi,data\speechocean\audio\so_train_00010.wav,speechocean762,9,6
speechocean_train_11,SO MARY WENT ON TO STUDY,soʊmærɪwɛntɑntustʌdi,soʊmærɪwɛntɑntustʌdi,data\speechocean\audio\so_train_00011.wav,speechocean762,9,6
speechocean_train_12,KATE GOT THE TOMATO,kɛtgɑtðətəmeɪtoʊ,kɛtgɑtðətəmeɪtoʊ,data\speechocean\audio\so_train_00012.wav,speechocean762,8,6
speechocean_train_13,TINA LOVES EGGPLANT,tinələvzɛgplænt,tinələvzɛgplænt,data\speechocean\audio\so_train_00013.wav,speechocean762,8,6
speechocean_train_14,DORA IS NOT A CLEANER,dɔrəɪznɑtəklinɜr,dɔrəɪznɑtəklinɜr,data\speechocean\audio\so_train_00014.wav,speechocean762,8,6
speechocean_train_15,MARK LIVED IN NEW YORK,mɑrklɪvdɪnnujɔk,mɑrklɪvdɪnnujɔk,data\speechocean\audio\so_train_00015.wav,speechocean762,9,6
speechocean_train_16,BOB LIVES IN CAIRO NOW,bɑblɪvzɪnkaɪroʊnaʊ,bɑblɪvzɪnkaɪroʊnaʊ,data\speechocean\audio\so_train_00016.wav,speechocean762,8,6
speechocean_train_17,BYE,baɪ,baɪ,data\speechocean\audio\so_train_00017.wav,speechocean762,10,6
speechocean_train_18,TREES,triz,triz,data\speechocean\audio\so_train_00018.wav,speechocean762,9,6
speechocean_train_19,MIKE LIKES THE WHITE ONE,maɪklaɪksðəwaɪtwən,maɪklaɪksðəwaɪtwən,data\speechocean\audio\so_train_00019.wav,speechocean762,8,6
speechocean_train_20,TWO TWO EIGHT SEVEN,tutueɪtsɛvn,tutueɪtsɛvn,data\speechocean\audio\so_train_00020.wav,speechocean762,8,6
speechocean_train_21,FIVE THREE NINE ZERO,faɪvθrinaɪnzɪʌoʊ,faɪvθrinaɪnzɪʌoʊ,data\speechocean\audio\so_train_00021.wav,speechocean762,8,6
