id,word,ipa,audio_path,split,ipa_clean
1,sole,/ˈsəʊl/,audio/sole/en081302.mp3,train,ˈsəʊl
2,deserve,/dɪˈzɜːrv/,audio/deserve/en024108.mp3,train,dɪˈzɜːrv
3,groove,/ˈgruːv/,audio/groove/en040415.mp3,train,ˈgruːv
4,bias,/ˈbaɪəs/,audio/bias/en008022.mp3,train,ˈbaɪəs
5,november,/nəʊˈvɛmbər/,audio/november/en058857.mp3,train,nəʊˈvɛmbər
6,mating,/ˈmætɪŋ/,audio/mating/en054197.mp3,train,ˈmætɪŋ
7,trial,/ˈtraɪəl/,audio/trial/en091934.mp3,train,ˈtraɪəl
8,haven,/ˈheɪvən/,audio/haven/en042042.mp3,train,ˈheɪvən
9,africa,/ˈæfrɪkə/,audio/africa/en001843.mp3,train,ˈæfrɪkə
10,header,/ˈhɛdər/,audio/header/en042172.mp3,train,ˈhɛdər
11,insulation,/ˌɪnsjʊˈleɪʃən/,audio/insulation/en046842.mp3,train,ˌɪnsjʊˈleɪʃən
12,arrow,/ˈærəʊ/,audio/arrow/en004411.mp3,train,ˈærəʊ
13,disks,/ˈdɪsk/,audio/disks/en1025505.mp3,train,ˈdɪsk
14,allergy,/ˈælərdʒi/,audio/allergy/en002526.mp3,train,ˈælərdʒi
15,consistent,/kənˈsɪstənt/,audio/consistent/en018599.mp3,train,kənˈsɪstənt
16,waste,/ˈweɪst/,audio/waste/en096804.mp3,train,ˈweɪst
17,webcams,/ˈwɛbkæm/,audio/webcams/en1098394.mp3,train,ˈwɛbkæm
18,silly,/ˈsɪli/,audio/silly/en078972.mp3,train,ˈsɪli
19,treasures,/ˈtrɛʒər/,audio/treasures/en091773.mp3,train,ˈtrɛʒər
20,come,/ˈkʌm/,audio/come/en016826.mp3,train,ˈkʌm
21,before,/bɪˈfɔːr/,audio/before/en007402.mp3,train,bɪˈfɔːr
22,nil,/ˈnɪl/,audio/nil/en058281.mp3,train,ˈnɪl
23,heart,/ˈhɑːrt/,audio/heart/en042338.mp3,train,ˈhɑːrt
24,spend,/ˈspɛnd/,audio/spend/en082321.mp3,train,ˈspɛnd
25,calculate,/ˈkælkjʊleɪt/,audio/calculate/en1012560.mp3,train,ˈkælkjʊleɪt
26,benefits,/ˈbɛnɪfɪt/,audio/benefits/en007773.mp3,train,ˈbɛnɪfɪt
27,encourages,/ɪnˈkʌrɪdʒ/,audio/encourages/en029585.mp3,train,ɪnˈkʌrɪdʒ
28,workout,/ˈwɜːrkaʊt/,audio/workout/en099142.mp3,train,ˈwɜːrkaʊt
29,where,/ˈhwɛər/,audio/where/en097697.mp3,train,ˈhwɛər
30,enclosure,/ɪnˈkləʊʒər/,audio/enclosure/en029531.mp3,train,ɪnˈkləʊʒər
31,rows,/ˈrəʊ/,audio/rows/en074174.mp3,train,ˈrəʊ
32,inclusive,/ɪnˈkluːsɪv/,audio/inclusive/en045679.mp3,train,ɪnˈkluːsɪv
33,football,/ˈfʊtbɔːl/,audio/football/en035612.mp3,train,ˈfʊtbɔːl
34,bound,/ˈbaʊnd/,audio/bound/en009898.mp3,train,ˈbaʊnd
35,hear,/ˈhɪər/,audio/hear/en042301.mp3,train,ˈhɪər
36,promotions,/prəˈməʊʃən/,audio/promotions/en067379.mp3,train,prəˈməʊʃən
37,recipients,/rɪˈsɪpiənt/,audio/recipients/en070295.mp3,train,rɪˈsɪpiənt
38,thirty,/ˈθɜːrti/,audio/thirty/en089562.mp3,train,ˈθɜːrti
39,medical,/ˈmɛdɪkəl/,audio/medical/en054571.mp3,train,ˈmɛdɪkəl
