word,phonetics_us
garbled,/ˈgɑːrbəld/
enchanted,/ɛnˈtʃæntɪd/
packing,/ˈpækɪŋ/
sanitation,/ˌsænɪˈteɪʃən/
informed,/ɪnˈfɔːrmd/
pressed,/prɛst/
overture,/ˈoʊvɚtʃɚ/
cherub,/ˈtʃɛrəb/
scratch,/skrætʃ/
boring,/ˈbɔrɪŋ/
recreation,/ˌrɛkriˈeɪʃən/
normally,/ˈnɔrməli/
main,/meɪn/
changeable,/ˈtʃeɪndʒəbəl/
herb,/ɝb/
relish,/ˈrɛlɪʃ/
sanitary,/ˈsænɪˌtɛri/
metropolis,/mɪˈtrɑpəlɪs/
toxic,/ˈtɑksɪk/
cleaner,/ˈklinɚ/
disposal,/dɪˈspoʊzəl/
writer,/ˈraɪtɚ/
studious,/ˈstudiəs/
neatness,/ˈniːtnɪs/
drier,/ˈdraɪɚ/
arrogance,/ˈærəgəns/
bandit,/ˈbændɪt/
gullible,/ˈgʌləbəl/
humiliation,/hjuˌmɪliˈeɪʃən/
daft,/dæft/
swimming,/ˈswɪmɪŋ/
dissatisfied,/dɪsˈsætɪsfaɪd/
expectancy,/ɪkˈspɛktənsi/
acrid,/ˈækrɪd/
homage,/ˈhɑmɪdʒ/
playback,/ˈpleɪˌbæk/
arithmetic,/n. əˈrɪθmətɪk; adj. ˌærɪθˈmɛtɪk/
decompose,/ˌdikəmˈpoʊz/
blonde,/blɑnd/
sunrise,/ˈsʌnˌraɪz/
pork,/pɔrk/
tandem,/ˈtændəm/
imagery,/ˈɪmɪdʒri/
woof,/wʊf/
cube,/kjub/
ha,/hɑ/
lopsided,/ˈlɑpˈsaɪdɪd/
logic,/ˈlɑdʒɪk/
additionally,/əˈdɪʃənəli/
trifle,/ˈtraɪfəl/
sent,/sɛnt/
lie,/laɪ/
chord,/kɔrd/
maniac,/ˈmeɪniˌæk/
grapple,/ˈgræpəl/
sincerely,/sɪnˈsɪərli/
disposition,/ˌdɪspəˈzɪʃən/
lodging,/ˈlɑdʒɪŋ/
bumpkin,/ˈbʌmpkɪn/
jewel,/ˈdʒuəl/
proposed,/prəˈpəʊzd/
clearing,/ˈklɪrɪŋ/
harness,/ˈhɑrnɪs/
explicit,/ɪkˈsplɪsɪt/
darling,/ˈdɑrlɪŋ/
immediacy,/ɪˈmidiəsi/
residential,/ˌrɛzɪˈdɛnʃəl/
VIP,/ˈviˈaɪˈpi/
gleam,/glim/
homogeneous,/ˌhoʊməˈdʒiniəs/
whimpering,/ˈwɪmpərɪŋ/
gratitude,/ˈgrætɪˌtud/
forefinger,/ˈfɔrˌfɪŋgɚ/
large,/lɑrdʒ/
git,/ˈgɪt/
chalice,/ˈtʃælɪs/
stark,/stɑrk/
otherworldly,/ˈʌðɚˈwɝldli/
maybe,/ˈmeɪbi/
crucifix,/ˈkrusəfɪks/
intriguing,/ɪnˈtrigɪŋ/
hardly,/ˈhɑrdli/
homogeneity,/ˌhoʊmədʒəˈniɪti/
backpack,/ˈbækˌpæk/
ruled,/ruld/
geologist,/dʒiˈɒlədʒɪst/
rind,/raɪnd/
litter,/ˈlɪtɚ/
tailgate,/ˈteɪlˌgeɪt/
carter,/ˈkɑːtə/
publisher,/ˈpʌblɪʃər/
giggle,/ˈgɪgəl/
suds,/sʌdz/
bass,/beɪs/
replica,/ˈrɛplɪkə/
illustrious,/ɪˈlʌstriəs/
wrist,/rɪst/
crooked,/ˈkrʊkɪd/
serious,/ˈsɪriəs/
rainfall,/ˈreɪnˌfɔl/
curry,/ˈkɜri/
embattled,/ɛmˈbætəld/
rub,/rʌb/
godless,/ˈgɑdlɪs/
bonfire,/ˈbɑnˌfaɪr/
courtroom,/ˈkɔrtˌrum/
nationality,/ˌnæʃəˈnælɪti/
grotesque,/groʊˈtɛsk/
reflex,/ˈriflɛks/
badge,/bædʒ/
servant,/ˈsɝvənt/
alleviation,/əˌliːviˈeɪʃən/
delighted,/dɪˈlaɪtɪd/
perfect,/adj./
enjoyable,/ɛnˈdʒɔɪəbəl/
counterpart,/ˈkaʊntɚˌpɑrt/
handbook,/ˈhændˌbʊk/
tester,/ˈtɛstər/
carat,/ˈkærət/
segregation,/ˌsɛgrɪˈgeɪʃən/
audacious,/ɔˈdeɪʃəs/
post,/poʊst/
psychology,/saɪˈkɑlədʒi/
wench,/wɛntʃ/
seaside,/ˈsiˌsaɪd/
exasperated,/ɪgˈzɑːspəreɪtɪd/
revival,/rɪˈvaɪvəl/
announcement,/əˈnaʊnsmənt/
jockey,/ˈdʒɑki/
hammock,/ˈhæmək/
crop,/krɑp/
seal,/sil/
helmet,/ˈhɛlmɪt/
mantle,/ˈmæntəl/
manhood,/ˈmænhʊd/
canvass,/ˈkænvəs/
searching,/ˈsɝtʃɪŋ/
rewarding,/rɪˈwɔrdɪŋ/
thoroughfare,/ˈθɜroʊˌfɛr/
veer,/vɪr/
forbear,/fɔrˈbɛr/
odd,/ɑd/
bleak,/blik/
unrest,/ʌnˈrɛst/
python,/ˈpaɪθɑn/
sworn,/swɔrn/
disrepair,/ˌdɪsrɪˈpɛr/
curator,/kjʊˈreɪtɚ/
secular,/ˈsɛkjəlɚ/
friendship,/ˈfrɛndʃɪp/
rumbling,/ˈrʌmblɪŋ/
nevertheless,/ˌnɛvɚðəˈlɛs/
creep,/krip/
competence,/ˈkɑmpɪtəns/
bridle,/ˈbraɪdəl/
badness,/ˈbædnɪs/
shaft,/ʃæft/
plenty,/ˈplɛnti/
abortion,/əˈbɔrʃən/
wartime,/ˈwɔrˌtaɪm/
pamphlet,/ˈpæmflɪt/
improperly,/ˌɪmˈprɒpərli/
union,/ˈjunjən/
repertoire,/ˈrɛpɚˌtwɑr/
definitely,/ˈdɛfənɪtli/
gash,/gæʃ/
proposition,/ˌprɑpəˈzɪʃən/
foreseeable,/fɔrˈsiəbəl/
annoyance,/əˈnɔɪəns/
animation,/ˌænəˈmeɪʃən/
hemisphere,/ˈhɛmɪˌsfɪr/
dessert,/dɪˈzɝt/
respecting,/rɪˈspɛktɪŋ/
plummet,/ˈplʌmɪt/
voice,/vɔɪs/
nutty,/ˈnʌti/
angel,/ˈeɪndʒəl/
hangar,/ˈhæŋɚ/
reassuring,/ˌriːəˈʃʊərɪŋ/
cove,/koʊv/
stag,/stæg/
dependence,/dɪˈpɛndəns/
irrelevant,/ɪˈrɛləvənt/
wheeler,/ˈwiːlə/
after,/ˈæftɚ/
badly,/ˈbædli/
clover,/ˈkloʊvɚ/
crony,/ˈkroʊni/
plat,/plæt/
determined,/dɪˈtɝmɪnd/
succinct,/səkˈsɪŋkt/
manufacturer,/ˌmænjʊˈfæktʃərər/
maestro,/ˈmaɪstroʊ/
perceptive,/pɚˈsɛptɪv/
rocket,/ˈrɑkɪt/
pact,/pækt/
cardboard,/ˈkɑrdˌbɔrd/
Cornish,/ˈkɔːrnɪʃ/
cricket,/ˈkrɪkɪt/
camp,/kæmp/
tyranny,/ˈtɪrəni/
dipper,/ˈdɪpɚ/
gee,/dʒi/
fame,/feɪm/
vulnerable,/ˈvʌlnərəbəl/
hoard,/hɔrd/
subdued,/səbˈdud/
now,/naʊ/
heaviness,/ˈhɛvinɪs/
farmer,/ˈfɑːmə/
icy,/ˈaɪsi/
exacting,/ɪgˈzæktɪŋ/
tack,/tæk/
gourmet,/gʊrˈmeɪ/
tongue,/tʌŋ/
Ireland,/ˈaɪərlənd/
steamer,/ˈstimɚ/
poultice,/ˈpoʊltɪs/
surveillance,/sɚˈveɪləns/
citation,/saɪˈteɪʃən/
alarmed,/əˈlɑːrmd/
banking,/ˈbæŋkɪŋ/
supporter,/səˈpɔːrtər/
desolate,/adj. ˈdɛsəlɪt; v. -ˌleɪt/
weather,/ˈwɛðɚ/
legend,/ˈlɛdʒənd/
